date,team_a,team_b,goals_a,goals_b,strength_a,strength_b,form_a,form_b,xg_a,xg_b,injuries_a,injuries_b,shots_a,shots_b,poss_a,poss_b
2025-03-11,Nantes HB,PSG,20,38,64,85,0.364,0.596,17.41,35.79,4,2,126,176,41.22,58.78
2025-04-12,Kiel,Nantes HB,39,19,92,61,0.843,0.929,30.29,19.91,0,4,158,116,54.51,45.49
2025-05-13,PSG,Aalborg,30,29,85,56,0.781,0.836,34.27,31.75,4,0,170,180,50.01,49.99
2025-06-14,Aalborg,Barcelona,31,28,80,86,0.559,0.413,31.01,24.93,3,2,209,158,46.38,53.62
2025-07-15,Barcelona,Veszprem,33,27,69,63,0.91,0.814,27.7,23.56,3,2,233,147,46.58,53.42
2025-08-16,Veszprem,PSG,33,27,78,60,0.51,0.632,39.81,28.57,1,1,249,85,49.54,50.46
2025-09-17,Barcelona,PSG,27,30,62,75,0.559,0.46,25.23,27.24,4,2,108,92,51.57,48.43
2025-10-18,Kiel,PSG,26,34,60,67,0.624,0.725,26.07,40.9,4,2,108,242,51.44,48.56
2025-11-19,Aalborg,Kiel,35,25,68,63,0.919,0.892,28.22,23.68,1,3,122,187,48.95,51.05
2025-12-20,PSG,Aalborg,41,19,67,59,0.804,0.544,34.58,20.04,1,4,155,127,51.19,48.81
2025-01-21,PSG,Kiel,35,23,66,56,0.592,0.358,30.82,19.91,1,0,228,84,52.36,47.64
2025-02-22,Nantes HB,Veszprem,36,24,90,57,0.704,0.696,32.89,23.07,2,1,144,165,53.09,46.91
2025-03-23,PSG,Kiel,32,29,64,91,0.632,0.369,32.61,25.61,0,0,211,86,50.92,49.08
2025-04-24,PSG,Veszprem,26,32,63,79,0.67,0.687,27.97,33.58,4,3,125,125,43.68,56.32
2025-05-25,Aalborg,Nantes HB,21,38,91,85,0.395,0.93,18.72,29.08,3,2,153,188,44.65,55.35
2025-06-26,Aalborg,Nantes HB,26,34,88,83,0.418,0.71,29.97,33.59,4,3,94,223,47.69,52.31
2025-07-27,Nantes HB,Aalborg,28,30,70,85,0.885,0.838,28.05,23.97,1,0,210,156,44.4,55.6
2025-08-28,Barcelona,Kiel,24,35,57,92,0.853,0.756,20.93,40.47,4,2,186,269,50.61,49.39
2025-09-01,Barcelona,PSG,30,29,88,61,0.363,0.761,32.8,23.39,3,4,202,126,54.11,45.89
2025-10-02,Barcelona,Kiel,25,35,57,68,0.492,0.802,29.0,26.8,0,1,173,209,47.98,52.02
2025-11-03,Veszprem,Nantes HB,34,25,60,72,0.919,0.615,32.11,22.93,4,4,154,173,50.76,49.24
2025-12-04,Aalborg,Barcelona,31,29,55,64,0.799,0.529,27.53,23.93,4,0,111,175,49.04,50.96
2025-01-05,Veszprem,Nantes HB,25,33,69,89,0.854,0.849,29.48,38.49,2,0,117,249,51.64,48.36
2025-02-06,Aalborg,Barcelona,34,26,91,82,0.924,0.848,34.7,23.48,4,4,95,133,52.17,47.83
2025-03-07,Nantes HB,PSG,34,24,71,91,0.898,0.595,40.84,19.07,1,3,158,181,47.37,52.63
2025-04-08,Kiel,Nantes HB,39,19,73,64,0.944,0.633,36.68,16.21,0,1,120,78,54.42,45.58
2025-05-09,Barcelona,Nantes HB,25,32,59,91,0.542,0.658,29.06,37.53,1,4,88,231,49.01,50.99
2025-06-10,Veszprem,Kiel,35,25,90,70,0.903,0.739,33.74,19.31,4,2,249,169,56.06,43.94
2025-07-11,Veszprem,Nantes HB,24,33,76,87,0.671,0.921,27.05,36.38,3,4,141,146,43.05,56.95
2025-08-12,PSG,Veszprem,42,17,91,68,0.92,0.529,42.47,19.04,2,2,288,87,57.28,42.72
2025-09-13,Veszprem,Nantes HB,28,31,77,79,0.42,0.613,26.17,24.2,0,1,212,213,53.19,46.81
2025-10-14,Nantes HB,Veszprem,23,36,72,64,0.453,0.92,18.36,42.02,4,3,109,271,42.59,57.41
2025-11-15,Kiel,PSG,18,40,67,86,0.502,0.819,18.02,31.42,4,1,51,103,44.64,55.36
2025-12-16,Veszprem,Aalborg,28,29,90,74,0.64,0.781,27.06,26.88,4,2,203,83,49.75,50.25
2025-01-17,Aalborg,Veszprem,25,35,85,65,0.359,0.941,20.0,29.73,1,1,165,251,43.96,56.04
2025-02-18,Veszprem,Nantes HB,28,31,60,69,0.901,0.81,32.91,36.92,3,1,93,136,46.43,53.57
2025-03-19,Kiel,PSG,27,31,83,69,0.639,0.929,26.16,24.2,4,3,146,146,45.14,54.86
2025-04-20,Barcelona,Kiel,24,35,56,76,0.514,0.718,19.63,36.34,1,2,160,163,48.32,51.68
2025-05-21,Nantes HB,Barcelona,41,19,84,84,0.702,0.406,38.95,18.34,0,4,228,78,52.97,47.03
2025-06-22,Nantes HB,Barcelona,15,41,62,92,0.501,0.867,17.33,42.77,3,1,104,266,38.73,61.27
2025-07-23,Barcelona,Veszprem,36,23,84,67,0.864,0.693,38.11,17.96,4,2,265,150,56.39,43.61
2025-08-24,Aalborg,PSG,39,20,84,70,0.77,0.438,30.11,19.47,3,2,293,138,58.76,41.24
2025-09-25,Veszprem,Aalborg,31,30,87,90,0.81,0.888,28.37,33.47,3,4,87,97,51.23,48.77
2025-10-26,Nantes HB,Kiel,36,24,63,57,0.58,0.44,27.72,19.79,2,4,97,131,50.82,49.18
2025-11-27,Barcelona,Nantes HB,25,33,84,91,0.778,0.77,20.03,25.87,4,0,124,152,51.6,48.4
2025-12-28,Nantes HB,Kiel,31,29,65,85,0.643,0.364,34.21,27.73,4,3,101,136,48.47,51.53
2025-01-01,Nantes HB,PSG,30,29,56,80,0.609,0.487,31.71,32.27,0,0,178,107,53.74,46.26
2025-02-02,Barcelona,Veszprem,31,28,76,80,0.674,0.76,30.03,22.62,0,2,156,116,45.1,54.9
2025-03-03,Barcelona,Veszprem,32,26,81,87,0.92,0.653,37.68,26.78,3,1,245,188,53.11,46.89
2025-04-04,Barcelona,PSG,38,22,91,62,0.659,0.699,37.21,17.88,1,4,168,89,50.63,49.37
2025-05-05,PSG,Aalborg,40,19,80,60,0.91,0.367,33.74,20.87,4,1,139,64,60.1,39.9
2025-06-06,PSG,Kiel,28,31,80,92,0.568,0.6,30.21,35.8,4,4,85,178,53.23,46.77
2025-07-07,Veszprem,Barcelona,34,25,65,84,0.95,0.772,29.5,28.34,0,3,248,108,51.76,48.24
2025-08-08,Veszprem,Kiel,22,36,86,90,0.371,0.668,24.32,38.22,3,0,119,247,46.07,53.93
2025-09-09,Aalborg,Kiel,27,32,62,90,0.487,0.475,23.26,37.53,2,3,187,132,51.57,48.43
2025-10-10,Barcelona,Kiel,24,34,63,80,0.464,0.766,27.59,32.56,0,1,136,206,43.19,56.81
2025-11-11,Aalborg,Nantes HB,29,32,66,64,0.728,0.859,28.74,30.51,4,3,170,181,50.67,49.33
2025-12-12,Nantes HB,Aalborg,33,26,57,66,0.626,0.598,28.48,30.51,1,4,204,139,54.01,45.99
2025-01-13,Kiel,PSG,44,16,87,82,0.942,0.395,45.0,13.21,1,2,220,101,54.29,45.71
2025-02-14,PSG,Nantes HB,31,28,68,59,0.782,0.819,27.01,31.09,2,1,184,123,52.18,47.82
2025-03-15,Aalborg,Veszprem,35,24,70,75,0.47,0.4,33.95,23.55,0,4,244,169,50.78,49.22
2025-04-16,Veszprem,Nantes HB,32,28,58,88,0.622,0.48,33.46,25.92,1,4,90,73,50.56,49.44
2025-05-17,PSG,Aalborg,28,32,79,85,0.639,0.845,32.49,37.51,1,2,97,169,49.46,50.54
2025-06-18,Aalborg,PSG,35,25,60,59,0.775,0.662,33.77,25.22,2,4,212,65,53.57,46.43
2025-07-19,Aalborg,Nantes HB,29,30,58,58,0.634,0.621,29.74,25.64,1,0,91,196,47.31,52.69
2025-08-20,Barcelona,Aalborg,35,25,90,82,0.497,0.44,31.13,23.28,3,4,99,102,54.63,45.37
2025-09-21,Aalborg,PSG,24,34,60,63,0.547,0.833,22.56,40.06,3,3,142,191,46.38,53.62
2025-10-22,Nantes HB,Aalborg,36,23,56,57,0.92,0.753,27.81,17.93,0,1,240,82,51.06,48.94
2025-11-23,Nantes HB,PSG,35,24,85,73,0.593,0.369,41.18,23.96,1,0,182,90,51.23,48.77
2025-12-24,Nantes HB,PSG,32,28,69,78,0.667,0.515,37.94,21.95,1,1,133,211,50.82,49.18
2025-01-25,PSG,Barcelona,32,27,68,58,0.396,0.502,30.37,25.95,2,3,178,123,47.57,52.43
2025-02-26,Veszprem,Kiel,34,25,65,68,0.712,0.819,31.38,22.93,0,4,223,112,50.48,49.52
2025-03-27,Kiel,Nantes HB,32,26,76,79,0.78,0.872,29.75,21.37,1,4,128,90,53.22,46.78
2025-04-28,Nantes HB,PSG,23,34,73,66,0.599,0.924,20.34,29.95,3,1,159,136,44.29,55.71
2025-05-01,Aalborg,Kiel,24,35,58,74,0.695,0.635,22.49,27.47,4,0,169,143,46.0,54.0
2025-06-02,Veszprem,PSG,37,22,72,82,0.798,0.499,38.62,18.71,0,3,255,95,49.55,50.45
2025-07-03,Aalborg,Veszprem,28,32,63,86,0.807,0.832,23.32,35.7,2,3,159,126,44.02,55.98
2025-08-04,Veszprem,PSG,18,41,77,90,0.421,0.918,16.03,44.24,4,2,64,111,41.83,58.17
2025-09-05,PSG,Veszprem,20,37,80,91,0.575,0.805,18.96,39.83,3,0,67,127,44.18,55.82
2025-10-06,Barcelona,Nantes HB,40,20,78,55,0.806,0.358,34.85,15.63,4,1,225,68,57.25,42.75
2025-11-07,Aalborg,Veszprem,24,34,83,92,0.409,0.709,25.33,32.42,1,2,182,116,41.96,58.04
2025-12-08,Veszprem,Barcelona,38,21,87,77,0.833,0.439,32.74,16.91,3,1,215,161,50.21,49.79
2025-01-09,Nantes HB,Barcelona,37,22,85,74,0.581,0.382,44.32,23.32,2,3,171,85,58.09,41.91
2025-02-10,Veszprem,Nantes HB,32,29,57,70,0.894,0.723,29.8,31.08,2,1,193,217,54.77,45.23
2025-03-11,Kiel,Barcelona,40,19,91,81,0.603,0.451,45.0,20.02,0,4,129,87,55.06,44.94
2025-04-12,Veszprem,Kiel,21,38,65,73,0.44,0.905,20.16,34.17,2,2,66,150,45.04,54.96
2025-05-13,Nantes HB,Veszprem,19,40,58,56,0.36,0.841,19.36,39.87,4,0,110,121,43.95,56.05
2025-06-14,Kiel,PSG,25,33,83,61,0.368,0.874,22.54,26.98,4,3,138,253,41.61,58.39
2025-07-15,Veszprem,Kiel,24,35,83,67,0.357,0.691,28.48,29.45,4,1,159,268,50.17,49.83
2025-08-16,Kiel,Veszprem,34,26,80,56,0.651,0.675,37.3,28.92,2,1,234,191,53.8,46.2
2025-09-17,PSG,Kiel,37,23,78,60,0.672,0.6,32.87,20.75,1,3,254,173,56.53,43.47
2025-10-18,Kiel,Aalborg,17,39,64,90,0.371,0.908,19.7,33.41,3,4,88,235,40.58,59.42
2025-11-19,Nantes HB,PSG,25,33,56,92,0.896,0.885,26.57,38.43,0,0,113,194,51.44,48.56
2025-12-20,Nantes HB,Veszprem,31,26,89,80,0.774,0.718,24.31,29.52,1,0,179,156,50.18,49.82
2025-01-21,Veszprem,Barcelona,28,31,85,68,0.526,0.903,21.42,27.67,0,0,107,184,45.91,54.09
2025-02-22,PSG,Aalborg,21,36,66,71,0.533,0.827,24.85,35.01,3,1,124,109,46.69,53.31
2025-03-23,PSG,Barcelona,36,23,70,56,0.61,0.445,32.88,23.84,1,1,261,159,54.17,45.83
2025-04-24,Aalborg,Barcelona,30,29,88,61,0.446,0.888,23.5,27.17,0,1,226,209,48.65,51.35
2025-05-25,Kiel,PSG,22,37,60,88,0.558,0.872,19.6,29.51,2,3,167,216,46.06,53.94
2025-06-26,Barcelona,Veszprem,29,30,83,77,0.35,0.637,33.65,27.67,2,3,80,152,43.81,56.19
2025-07-27,Aalborg,PSG,29,31,76,72,0.457,0.593,22.3,35.17,3,2,90,172,48.71,51.29
2025-08-28,PSG,Nantes HB,33,25,89,80,0.62,0.635,35.06,20.81,1,2,132,78,49.13,50.87
2025-09-01,Kiel,Nantes HB,23,36,55,87,0.381,0.654,24.81,43.52,1,4,157,203,43.57,56.43
2025-10-02,PSG,Veszprem,32,26,77,78,0.93,0.649,32.1,31.08,4,1,95,136,49.32,50.68
2025-11-03,Aalborg,Barcelona,26,34,92,92,0.565,0.887,24.27,27.92,3,3,127,123,47.3,52.7
2025-12-04,Veszprem,Barcelona,24,34,69,84,0.714,0.947,21.78,39.38,4,4,70,110,48.39,51.61
2025-01-05,Veszprem,Barcelona,28,30,67,84,0.694,0.712,24.76,31.83,1,1,99,114,47.86,52.14
2025-02-06,Barcelona,Kiel,30,28,77,90,0.73,0.662,30.13,22.61,2,2,135,142,54.17,45.83
2025-03-07,PSG,Nantes HB,32,28,81,55,0.362,0.57,30.52,33.44,2,2,114,77,47.8,52.2
2025-04-08,PSG,Veszprem,32,28,77,85,0.88,0.787,38.91,25.98,2,3,164,106,54.14,45.86
2025-05-09,Kiel,PSG,31,29,86,84,0.402,0.617,33.37,23.01,1,3,111,126,51.36,48.64
2025-06-10,Aalborg,Kiel,34,25,67,69,0.744,0.362,31.11,21.82,4,0,253,112,54.96,45.04
2025-07-11,Aalborg,Barcelona,38,21,56,81,0.769,0.418,42.85,21.95,0,4,98,96,53.43,46.57
2025-08-12,Aalborg,Kiel,31,27,73,64,0.532,0.485,23.86,33.19,2,0,186,172,49.88,50.12
2025-09-13,Veszprem,PSG,28,31,60,61,0.535,0.689,32.3,32.67,0,0,206,187,50.6,49.4
2025-10-14,Nantes HB,Veszprem,38,24,90,75,0.609,0.581,45.0,22.1,2,4,284,172,52.04,47.96
2025-11-15,Aalborg,Veszprem,28,30,81,82,0.85,0.812,25.79,29.45,3,0,102,123,49.91,50.09
2025-12-16,Nantes HB,Kiel,24,35,57,72,0.94,0.92,25.55,42.36,4,0,174,121,47.9,52.1
2025-01-17,PSG,Veszprem,22,36,76,86,0.443,0.617,23.58,38.44,3,0,79,249,44.59,55.41
2025-02-18,Aalborg,Barcelona,32,28,86,70,0.361,0.353,37.55,33.38,3,0,84,75,51.74,48.26
2025-03-19,Veszprem,Barcelona,25,33,71,65,0.434,0.937,29.64,28.46,2,3,150,198,49.45,50.55
2025-04-20,Veszprem,Aalborg,29,29,58,87,0.763,0.557,35.09,32.42,2,2,145,213,48.47,51.53
2025-05-21,Nantes HB,PSG,34,26,88,60,0.362,0.699,36.52,23.83,0,3,95,82,51.27,48.73
2025-06-22,Nantes HB,Barcelona,36,23,56,59,0.889,0.47,35.5,19.16,3,1,93,82,56.79,43.21
2025-07-23,Kiel,PSG,34,24,91,80,0.533,0.471,40.05,27.01,1,2,169,105,51.83,48.17
2025-08-24,Barcelona,Veszprem,31,27,58,86,0.74,0.447,34.6,28.75,3,4,99,209,51.85,48.15
2025-09-25,PSG,Nantes HB,39,21,73,62,0.807,0.692,33.69,16.55,0,3,254,63,50.59,49.41
2025-10-26,Kiel,Nantes HB,34,25,71,69,0.69,0.464,34.02,27.24,4,2,126,176,54.53,45.47
2025-11-27,Kiel,Nantes HB,31,28,81,61,0.904,0.863,32.66,25.55,4,0,214,195,54.15,45.85
2025-12-28,Nantes HB,Aalborg,30,28,67,92,0.478,0.386,31.65,26.99,3,4,127,138,53.0,47.0
2025-01-01,Barcelona,Aalborg,24,35,80,71,0.368,0.728,27.6,39.27,2,0,105,263,49.72,50.28
2025-02-02,Nantes HB,Aalborg,38,20,73,80,0.903,0.369,44.42,18.6,0,0,173,93,49.87,50.13
2025-03-03,PSG,Barcelona,23,35,78,75,0.598,0.925,19.05,31.83,3,1,166,235,45.95,54.05
2025-04-04,Kiel,Nantes HB,30,29,55,55,0.446,0.555,28.82,27.67,0,0,200,79,52.24,47.76
2025-05-05,Kiel,Aalborg,24,33,66,73,0.652,0.94,20.21,28.63,4,4,122,150,48.49,51.51
2025-06-06,Aalborg,Nantes HB,32,27,69,66,0.797,0.772,31.08,31.9,2,2,166,100,52.35,47.65
2025-07-07,Aalborg,PSG,28,31,67,63,0.701,0.783,33.25,26.33,4,2,153,171,50.34,49.66
2025-08-08,Nantes HB,Veszprem,33,27,73,67,0.743,0.621,26.98,25.11,1,0,137,126,55.0,45.0
2025-09-09,Aalborg,PSG,22,36,64,79,0.545,0.89,27.24,39.17,0,0,92,123,47.21,52.79
2025-10-10,Aalborg,Kiel,16,41,67,89,0.487,0.839,18.62,45.0,4,0,88,205,40.7,59.3
2025-11-11,Barcelona,Veszprem,27,32,67,74,0.432,0.572,24.43,38.93,1,0,78,101,42.87,57.13
2025-12-12,Kiel,Barcelona,39,21,64,57,0.941,0.61,33.49,19.82,0,0,122,55,56.99,43.01
2025-01-13,Kiel,PSG,25,33,57,59,0.484,0.921,29.86,26.29,1,3,154,113,51.4,48.6
2025-02-14,Kiel,Aalborg,37,24,71,58,0.608,0.577,42.37,26.15,0,2,132,139,56.11,43.89
2025-03-15,Kiel,Nantes HB,24,33,75,87,0.617,0.73,22.26,31.48,2,0,160,126,42.0,58.0
2025-04-16,Kiel,Veszprem,33,27,83,65,0.363,0.479,27.17,21.54,2,2,242,126,49.44,50.56
2025-05-17,Veszprem,Aalborg,36,23,76,63,0.596,0.549,36.0,22.21,0,1,100,135,48.81,51.19
2025-06-18,Aalborg,Veszprem,22,35,58,84,0.518,0.691,18.92,26.97,4,3,97,247,41.84,58.16
2025-07-19,Aalborg,PSG,36,23,70,73,0.887,0.724,34.3,26.14,1,4,102,87,54.22,45.78
2025-08-20,PSG,Kiel,28,30,83,70,0.482,0.822,31.05,36.43,2,3,103,221,49.38,50.62
2025-09-21,Aalborg,PSG,36,23,73,86,0.845,0.485,36.55,18.12,2,3,193,68,51.81,48.19
2025-10-22,Kiel,Barcelona,23,35,90,80,0.467,0.887,18.89,33.25,2,1,117,103,42.89,57.11
2025-11-23,Barcelona,Kiel,34,24,83,69,0.623,0.714,27.0,28.22,0,2,181,145,55.54,44.46
2025-12-24,Barcelona,Kiel,35,25,64,69,0.477,0.439,28.01,18.95,0,4,239,141,48.32,51.68
2025-01-25,Aalborg,Barcelona,19,37,58,74,0.494,0.848,15.26,32.18,3,1,114,134,43.94,56.06
2025-02-26,Veszprem,Kiel,39,21,83,69,0.724,0.405,32.27,18.28,2,1,180,70,52.58,47.42
2025-03-27,Nantes HB,Veszprem,35,23,88,59,0.69,0.779,27.87,28.12,3,4,125,137,53.32,46.68
2025-04-28,Kiel,Barcelona,22,35,57,82,0.479,0.811,23.31,34.65,1,4,91,163,44.15,55.85
2025-05-01,Barcelona,Kiel,32,27,79,55,0.509,0.636,24.73,22.54,4,2,125,190,45.54,54.46
2025-06-02,Aalborg,Nantes HB,34,24,60,87,0.912,0.429,38.74,18.7,2,2,90,127,51.84,48.16
2025-07-03,Nantes HB,Kiel,29,29,64,58,0.879,0.949,33.38,23.35,3,2,183,98,49.6,50.4
2025-08-04,Veszprem,Kiel,25,34,66,73,0.502,0.86,28.43,36.1,0,1,141,143,48.06,51.94
2025-09-05,Barcelona,Kiel,36,24,83,55,0.584,0.462,30.79,27.21,3,0,167,70,54.09,45.91
2025-10-06,Kiel,PSG,25,32,58,84,0.713,0.537,21.01,31.79,3,0,171,235,51.06,48.94
2025-11-07,Veszprem,Nantes HB,29,30,83,73,0.415,0.634,29.14,24.64,0,0,89,111,49.26,50.74
2025-12-08,Nantes HB,Aalborg,37,24,59,75,0.748,0.58,28.39,28.33,0,4,173,94,57.4,42.6
2025-01-09,Barcelona,Nantes HB,38,23,55,64,0.775,0.574,42.95,19.69,0,4,255,68,49.9,50.1
2025-02-10,Veszprem,PSG,34,25,90,82,0.599,0.421,29.71,27.14,1,0,247,96,50.49,49.51
2025-03-11,Aalborg,Kiel,35,24,75,56,0.582,0.757,31.88,27.12,0,4,161,81,52.43,47.57
2025-04-12,Veszprem,Barcelona,36,25,76,55,0.479,0.53,41.86,23.14,1,2,265,175,55.38,44.62
2025-05-13,Veszprem,Nantes HB,32,27,77,84,0.547,0.559,29.63,25.92,2,4,170,195,49.77,50.23
2025-06-14,PSG,Nantes HB,39,20,85,92,0.807,0.498,43.89,24.39,0,3,265,91,51.13,48.87
2025-07-15,Barcelona,Veszprem,40,20,70,59,0.868,0.498,37.42,18.92,4,4,301,142,55.27,44.73
2025-08-16,Veszprem,Barcelona,29,29,79,64,0.78,0.92,29.79,34.25,2,0,101,89,47.37,52.63
2025-09-17,Nantes HB,Aalborg,25,33,59,62,0.639,0.881,24.51,34.42,1,1,191,168,48.15,51.85
2025-10-18,Nantes HB,PSG,31,28,58,76,0.51,0.403,30.66,22.37,0,2,115,158,53.29,46.71
2025-11-19,Barcelona,Veszprem,33,27,68,77,0.651,0.395,35.43,27.76,2,1,85,102,50.31,49.69
2025-12-20,PSG,Nantes HB,25,34,61,64,0.606,0.916,19.25,40.86,2,2,154,138,42.28,57.72
2025-01-21,Nantes HB,Kiel,19,38,66,91,0.413,0.58,22.51,43.52,4,1,147,160,40.72,59.28
2025-02-22,Veszprem,Aalborg,39,20,76,69,0.827,0.501,34.35,16.08,2,3,154,105,56.04,43.96
2025-03-23,Kiel,Nantes HB,29,30,60,74,0.451,0.63,29.55,30.01,1,4,159,118,46.67,53.33
2025-04-24,Barcelona,PSG,21,37,82,86,0.54,0.934,17.36,34.82,3,2,116,155,40.29,59.71
