date,team_a,team_b,goals_a,goals_b,strength_a,strength_b,form_a,form_b,xg_a,xg_b,injuries_a,injuries_b,shots_a,shots_b,poss_a,poss_b
2025-03-23,ATP Team A,WTA Team A,1,1,81,81,0.618,0.621,1.3,1.65,4,3,10,8,46.19,53.81
2025-04-24,ATP Team A,ATP Team B,2,1,59,73,0.754,0.605,2.63,1.4,4,4,19,8,52.04,47.96
2025-05-25,ATP Team B,ATP Team A,1,2,63,78,0.471,0.731,1.63,2.42,3,0,6,16,48.0,52.0
2025-06-26,WTA Team A,ATP Team B,1,3,74,83,0.541,0.602,1.85,2.96,3,1,14,16,50.82,49.18
2025-07-27,WTA Team B,WTA Team A,3,2,74,56,0.385,0.873,2.77,2.11,1,1,22,22,45.9,54.1
2025-08-28,ATP Team A,ATP Team B,1,1,56,66,0.491,0.642,1.27,1.85,0,3,9,11,45.1,54.9
2025-09-01,WTA Team B,ATP Team A,2,3,87,73,0.586,0.741,2.94,3.0,0,4,17,18,50.8,49.2
2025-10-02,WTA Team B,ATP Team A,1,3,57,66,0.557,0.396,1.94,3.0,2,0,14,19,52.46,47.54
2025-11-03,ATP Team A,WTA Team B,2,2,82,66,0.36,0.857,2.64,2.49,2,4,16,15,47.83,52.17
2025-12-04,WTA Team B,ATP Team A,2,2,79,87,0.375,0.854,2.43,1.75,1,1,18,7,40.14,59.86
2025-01-05,ATP Team A,ATP Team B,3,1,86,83,0.817,0.473,3.0,1.34,2,0,20,8,56.94,43.06
2025-02-06,ATP Team A,WTA Team A,3,1,78,58,0.507,0.583,2.87,1.53,4,3,14,8,54.71,45.29
2025-03-07,WTA Team A,ATP Team B,2,1,82,76,0.722,0.647,2.14,1.31,3,4,20,11,51.55,48.45
2025-04-08,WTA Team A,ATP Team B,2,2,73,69,0.611,0.389,2.78,2.92,3,0,9,15,48.75,51.25
2025-05-09,WTA Team B,WTA Team A,3,3,57,62,0.762,0.636,3.0,3.0,3,4,15,21,52.49,47.51
2025-06-10,WTA Team A,ATP Team B,2,1,59,82,0.606,0.889,2.56,1.87,3,0,13,8,47.06,52.94
2025-07-11,ATP Team A,WTA Team A,3,2,89,86,0.772,0.508,3.0,2.41,4,1,29,11,54.1,45.9
2025-08-12,WTA Team A,ATP Team A,1,2,90,76,0.484,0.898,1.19,2.53,3,4,10,14,47.49,52.51
2025-09-13,WTA Team A,ATP Team B,3,2,69,61,0.944,0.495,2.5,2.35,2,3,15,11,55.82,44.18
2025-10-14,ATP Team A,WTA Team A,1,2,79,89,0.415,0.567,1.56,2.68,4,2,9,8,42.13,57.87
2025-11-15,ATP Team B,ATP Team A,1,2,63,73,0.461,0.506,1.77,2.67,3,3,6,21,49.95,50.05
2025-12-16,WTA Team A,ATP Team B,3,1,90,72,0.896,0.744,2.85,1.72,0,2,17,7,50.89,49.11
2025-01-17,ATP Team B,WTA Team B,1,1,59,84,0.831,0.603,1.66,1.93,3,3,12,10,52.87,47.13
2025-02-18,ATP Team A,ATP Team B,3,1,58,55,0.769,0.703,2.77,1.24,2,1,23,10,54.55,45.45
2025-03-19,WTA Team B,WTA Team A,3,3,84,90,0.582,0.547,2.65,3.0,0,3,16,22,47.3,52.7
2025-04-20,ATP Team B,WTA Team B,3,1,75,79,0.872,0.79,2.99,1.29,0,0,22,13,51.46,48.54
2025-05-21,WTA Team B,WTA Team A,3,2,55,82,0.831,0.856,3.0,2.02,2,1,23,17,48.4,51.6
2025-06-22,ATP Team B,WTA Team B,2,2,66,55,0.53,0.823,2.14,2.9,3,3,10,22,51.15,48.85
2025-07-23,WTA Team A,ATP Team A,1,2,67,88,0.734,0.535,1.78,2.49,4,1,11,9,51.44,48.56
2025-08-24,ATP Team A,WTA Team A,2,1,55,59,0.901,0.547,2.46,1.74,2,3,17,14,54.05,45.95
2025-09-25,ATP Team B,WTA Team B,3,1,78,60,0.852,0.932,2.78,1.51,2,0,18,13,50.61,49.39
2025-10-26,WTA Team A,WTA Team B,2,3,75,55,0.423,0.531,2.82,3.0,4,1,12,25,48.54,51.46
2025-11-27,WTA Team B,WTA Team A,2,3,73,83,0.615,0.917,2.02,2.8,4,2,12,22,39.93,60.07
2025-12-28,ATP Team A,WTA Team A,2,1,64,72,0.812,0.687,2.31,1.32,2,4,11,8,47.95,52.05
2025-01-01,WTA Team B,WTA Team A,3,1,72,72,0.68,0.42,3.0,1.53,4,2,26,8,53.56,46.44
2025-02-02,ATP Team A,WTA Team B,3,1,91,55,0.801,0.416,2.43,1.09,4,0,29,11,57.07,42.93
2025-03-03,WTA Team A,ATP Team B,1,1,91,89,0.422,0.692,1.24,1.57,0,1,6,10,49.43,50.57
2025-04-04,ATP Team B,WTA Team B,3,1,74,87,0.605,0.44,3.0,1.91,0,2,12,12,56.11,43.89
2025-05-05,ATP Team A,WTA Team B,1,3,56,75,0.801,0.539,1.52,3.0,2,3,12,21,52.42,47.58
2025-06-06,ATP Team A,WTA Team B,3,3,66,60,0.748,0.763,3.0,3.0,1,0,24,29,50.18,49.82
2025-07-07,WTA Team A,ATP Team B,3,2,78,59,0.471,0.439,3.0,2.26,0,0,17,9,52.56,47.44
2025-08-08,WTA Team B,WTA Team A,2,2,67,62,0.613,0.422,1.96,2.1,4,4,13,14,53.36,46.64
2025-09-09,ATP Team A,WTA Team B,2,2,58,71,0.354,0.873,2.49,2.02,3,4,21,12,48.74,51.26
2025-10-10,WTA Team B,WTA Team A,2,1,69,84,0.563,0.407,2.39,1.69,2,2,21,5,49.33,50.67
2025-11-11,ATP Team A,WTA Team A,3,1,82,56,0.892,0.539,3.0,1.39,4,3,10,13,59.31,40.69
2025-12-12,ATP Team A,WTA Team B,0,1,58,91,0.565,0.783,0.78,1.26,1,3,6,12,41.68,58.32
2025-01-13,ATP Team A,WTA Team A,1,2,56,86,0.881,0.568,1.33,2.47,3,3,6,16,51.16,48.84
2025-02-14,WTA Team B,ATP Team A,2,2,64,84,0.398,0.352,3.0,2.22,2,3,10,8,53.21,46.79
2025-03-15,WTA Team B,ATP Team A,3,1,67,59,0.844,0.396,3.0,1.3,4,4,18,10,53.21,46.79
2025-04-16,WTA Team B,WTA Team A,3,1,77,60,0.773,0.547,3.0,1.51,2,4,18,12,55.04,44.96
2025-05-17,ATP Team A,ATP Team B,2,3,57,59,0.603,0.643,2.57,2.89,3,1,18,15,43.75,56.25
2025-06-18,ATP Team B,WTA Team A,3,1,74,64,0.417,0.637,3.0,1.27,4,4,21,12,48.02,51.98
2025-07-19,WTA Team B,WTA Team A,0,1,63,79,0.659,0.857,0.75,1.31,4,1,4,6,45.0,55.0
2025-08-20,WTA Team B,ATP Team A,3,2,85,55,0.866,0.678,3.0,3.0,3,2,21,14,58.7,41.3
2025-09-21,ATP Team B,ATP Team A,2,1,60,81,0.562,0.367,2.72,1.46,2,0,16,8,51.73,48.27
2025-10-22,ATP Team A,WTA Team A,3,1,91,81,0.645,0.353,2.73,1.19,0,4,17,14,56.33,43.67
2025-11-23,WTA Team B,ATP Team A,3,2,87,60,0.868,0.581,3.0,2.61,1,2,16,13,54.95,45.05
2025-12-24,WTA Team B,ATP Team A,1,2,62,57,0.353,0.43,1.29,2.26,2,0,6,18,44.79,55.21
2025-01-25,ATP Team B,WTA Team A,2,3,72,63,0.478,0.657,2.07,3.0,1,0,16,29,50.07,49.93
2025-02-26,WTA Team B,ATP Team A,2,2,56,75,0.501,0.685,1.7,2.05,4,1,16,11,42.04,57.96
2025-03-27,ATP Team A,WTA Team A,2,2,66,82,0.636,0.645,2.16,2.41,3,3,12,16,49.31,50.69
2025-04-28,ATP Team B,WTA Team A,1,2,77,89,0.6,0.89,1.67,2.09,3,0,11,16,43.71,56.29
2025-05-01,WTA Team A,WTA Team B,3,2,68,61,0.491,0.947,3.0,2.95,4,3,22,22,44.2,55.8
2025-06-02,WTA Team A,WTA Team B,0,2,68,89,0.563,0.75,0.53,2.85,4,3,5,12,41.6,58.4
2025-07-03,ATP Team B,WTA Team A,3,3,61,73,0.916,0.875,3.0,2.96,3,1,28,18,46.32,53.68
2025-08-04,ATP Team A,WTA Team B,3,2,83,80,0.832,0.503,3.0,2.85,4,4,18,21,51.34,48.66
2025-09-05,WTA Team A,ATP Team A,1,2,87,79,0.627,0.683,2.01,2.4,3,4,8,13,50.91,49.09
2025-10-06,WTA Team A,ATP Team B,2,1,78,78,0.524,0.389,1.71,1.25,4,4,11,13,54.42,45.58
2025-11-07,WTA Team B,WTA Team A,1,2,55,90,0.837,0.502,1.33,2.06,3,1,10,14,48.53,51.47
2025-12-08,ATP Team A,WTA Team A,2,3,65,81,0.483,0.901,2.49,2.71,2,0,21,24,45.65,54.35
2025-01-09,ATP Team B,WTA Team B,2,3,73,68,0.824,0.632,2.46,3.0,4,3,12,12,52.99,47.01
2025-02-10,ATP Team B,WTA Team A,2,3,77,58,0.623,0.871,2.86,3.0,2,4,7,23,49.1,50.9
2025-03-11,ATP Team B,ATP Team A,3,2,82,70,0.805,0.391,3.0,2.44,4,4,27,17,51.14,48.86
2025-04-12,WTA Team A,ATP Team A,1,2,65,79,0.792,0.864,1.36,2.1,3,4,5,20,45.57,54.43
2025-05-13,WTA Team B,ATP Team B,3,2,85,88,0.915,0.594,3.0,1.77,0,2,14,17,53.53,46.47
2025-06-14,ATP Team B,ATP Team A,1,2,71,83,0.452,0.56,1.84,2.42,4,0,14,18,49.88,50.12
2025-07-15,WTA Team B,ATP Team A,1,3,82,87,0.352,0.694,1.29,2.64,2,2,7,17,42.42,57.58
2025-08-16,WTA Team A,ATP Team B,2,2,78,86,0.57,0.745,2.57,2.55,0,1,22,8,47.07,52.93
2025-09-17,ATP Team A,WTA Team A,3,1,73,55,0.786,0.378,2.55,1.49,0,1,22,14,54.13,45.87
2025-10-18,WTA Team A,ATP Team A,2,3,73,65,0.376,0.807,2.54,3.0,3,0,14,10,44.14,55.86
2025-11-19,ATP Team B,WTA Team A,3,2,83,68,0.764,0.916,2.56,2.64,3,3,27,18,53.73,46.27
2025-12-20,WTA Team A,WTA Team B,2,3,84,80,0.439,0.834,3.0,3.0,1,2,9,16,51.96,48.04
2025-01-21,ATP Team A,ATP Team B,2,1,74,58,0.677,0.944,2.25,1.93,3,3,8,10,44.82,55.18
2025-02-22,ATP Team B,WTA Team B,2,1,76,67,0.723,0.675,2.67,1.56,2,1,10,12,50.9,49.1
2025-03-23,ATP Team A,WTA Team A,1,3,55,73,0.711,0.747,1.28,2.8,1,3,11,19,44.56,55.44
2025-04-24,WTA Team B,ATP Team A,2,1,88,87,0.809,0.409,2.38,1.23,4,2,10,14,51.58,48.42
2025-05-25,ATP Team A,WTA Team B,2,1,65,75,0.738,0.366,2.28,1.61,0,0,20,5,57.27,42.73
2025-06-26,ATP Team B,WTA Team B,2,1,76,90,0.675,0.686,1.68,1.85,1,0,17,9,52.75,47.25
2025-07-27,ATP Team B,WTA Team A,2,1,74,74,0.918,0.464,2.8,1.17,3,3,13,8,58.48,41.52
2025-08-28,ATP Team B,WTA Team B,2,1,69,61,0.792,0.901,1.96,1.34,4,4,8,8,46.77,53.23
2025-09-01,ATP Team B,ATP Team A,1,3,60,92,0.512,0.543,1.51,3.0,0,1,12,15,49.82,50.18
2025-10-02,ATP Team B,WTA Team B,3,1,59,86,0.685,0.756,2.72,1.72,2,4,26,11,50.45,49.55
2025-11-03,ATP Team A,WTA Team B,2,1,83,58,0.873,0.584,2.17,1.8,3,1,10,5,51.59,48.41
2025-12-04,WTA Team A,ATP Team B,2,2,63,90,0.548,0.697,2.52,2.84,1,4,19,20,43.26,56.74
2025-01-05,WTA Team B,ATP Team B,2,2,82,75,0.636,0.824,2.15,2.5,0,2,16,21,53.17,46.83
2025-02-06,ATP Team A,WTA Team B,2,1,91,70,0.798,0.524,3.0,1.63,0,3,12,12,56.69,43.31
2025-03-07,WTA Team A,ATP Team B,2,2,63,58,0.63,0.873,1.72,2.0,2,4,15,14,44.77,55.23
2025-04-08,WTA Team B,ATP Team A,0,2,65,84,0.357,0.586,0.58,3.0,4,0,4,19,46.92,53.08
2025-05-09,WTA Team A,WTA Team B,2,2,90,64,0.548,0.634,2.77,2.19,4,4,12,10,54.54,45.46
2025-06-10,WTA Team B,WTA Team A,1,3,77,87,0.476,0.788,1.87,2.97,2,2,6,27,47.07,52.93
2025-07-11,WTA Team B,WTA Team A,2,1,88,62,0.672,0.918,2.85,1.38,2,1,18,7,51.1,48.9
2025-08-12,ATP Team B,WTA Team A,3,2,79,90,0.632,0.892,3.0,2.09,3,3,12,22,44.79,55.21
2025-09-13,WTA Team A,WTA Team B,1,3,55,87,0.353,0.726,1.17,3.0,1,1,9,18,41.45,58.55
2025-10-14,ATP Team B,ATP Team A,1,2,82,75,0.694,0.649,1.4,2.43,3,2,8,19,49.37,50.63
2025-11-15,ATP Team A,WTA Team B,1,2,79,72,0.59,0.352,1.19,1.67,3,3,13,9,49.7,50.3
2025-12-16,WTA Team B,WTA Team A,2,2,65,70,0.785,0.824,2.75,2.5,0,1,14,20,52.47,47.53
2025-01-17,ATP Team B,ATP Team A,2,1,90,68,0.866,0.629,2.4,1.67,2,1,17,7,58.32,41.68
2025-02-18,ATP Team A,WTA Team A,1,2,91,77,0.874,0.485,1.4,2.63,3,1,7,11,51.46,48.54
2025-03-19,WTA Team B,ATP Team B,1,1,78,78,0.883,0.776,1.76,1.78,2,0,14,10,46.18,53.82
2025-04-20,ATP Team A,WTA Team A,3,3,87,64,0.586,0.832,2.87,3.0,2,3,23,15,46.33,53.67
2025-05-21,ATP Team A,ATP Team B,2,2,85,71,0.849,0.912,2.65,2.59,1,4,15,11,57.25,42.75
2025-06-22,WTA Team B,ATP Team B,3,2,75,92,0.787,0.816,3.0,2.94,1,4,29,14,52.63,47.37
2025-07-23,ATP Team A,ATP Team B,3,3,62,82,0.8,0.501,3.0,3.0,4,3,11,19,54.1,45.9
2025-08-24,WTA Team B,WTA Team A,1,1,83,77,0.385,0.676,1.03,1.6,0,0,8,8,51.09,48.91
2025-09-25,WTA Team B,ATP Team B,2,1,70,67,0.455,0.726,3.0,1.53,3,4,21,7,52.58,47.42
2025-10-26,WTA Team B,WTA Team A,1,2,78,80,0.495,0.875,1.03,2.73,2,3,14,16,47.51,52.49
2025-11-27,WTA Team B,WTA Team A,2,1,64,87,0.675,0.423,1.72,1.56,0,4,11,6,54.43,45.57
2025-12-28,ATP Team B,ATP Team A,3,2,82,56,0.759,0.598,3.0,1.93,4,2,10,17,50.16,49.84
2025-01-01,WTA Team B,WTA Team A,2,2,92,84,0.876,0.454,2.34,2.19,2,0,21,10,52.95,47.05
2025-02-02,WTA Team B,WTA Team A,2,3,78,77,0.461,0.53,1.93,3.0,2,2,12,14,45.0,55.0
2025-03-03,ATP Team B,WTA Team B,3,3,78,69,0.424,0.36,3.0,3.0,2,1,14,27,46.03,53.97
2025-04-04,WTA Team B,ATP Team B,3,1,70,61,0.406,0.46,3.0,1.59,3,4,16,5,51.31,48.69
2025-05-05,ATP Team B,WTA Team A,1,3,70,90,0.376,0.48,1.41,3.0,3,2,8,10,49.07,50.93
2025-06-06,WTA Team B,ATP Team A,2,2,83,68,0.77,0.598,2.55,2.44,3,3,18,13,51.57,48.43
2025-07-07,ATP Team B,WTA Team A,2,3,79,82,0.477,0.781,2.92,3.0,3,3,10,28,48.84,51.16
2025-08-08,ATP Team A,WTA Team B,2,2,85,83,0.613,0.416,3.0,2.17,0,2,12,12,55.29,44.71
2025-09-09,ATP Team A,WTA Team A,1,2,92,81,0.608,0.939,1.67,2.03,3,1,9,10,44.35,55.65
2025-10-10,ATP Team B,WTA Team B,2,1,62,60,0.507,0.358,2.79,1.65,4,2,18,8,52.97,47.03
2025-11-11,WTA Team A,ATP Team B,2,2,60,70,0.399,0.778,2.62,2.0,4,3,11,17,44.1,55.9
2025-12-12,WTA Team A,ATP Team A,1,3,88,83,0.509,0.519,1.18,3.0,3,0,6,12,48.15,51.85
2025-01-13,ATP Team A,WTA Team A,3,0,84,64,0.729,0.581,2.94,0.78,1,3,11,7,56.0,44.0
2025-02-14,WTA Team A,ATP Team B,1,2,79,77,0.465,0.363,1.65,3.0,3,1,13,19,45.48,54.52
2025-03-15,WTA Team A,ATP Team A,3,2,86,71,0.608,0.766,3.0,1.95,3,0,20,22,45.37,54.63
2025-04-16,WTA Team B,ATP Team A,2,2,55,82,0.796,0.685,2.22,2.43,3,2,13,16,50.22,49.78
2025-05-17,WTA Team B,WTA Team A,2,3,90,88,0.39,0.798,2.44,3.0,2,1,12,11,50.32,49.68
2025-06-18,WTA Team B,ATP Team A,2,2,72,61,0.798,0.477,2.04,1.85,3,4,13,9,54.98,45.02
2025-07-19,WTA Team A,ATP Team B,2,2,80,88,0.47,0.654,2.28,2.0,1,1,9,13,48.14,51.86
2025-08-20,WTA Team A,WTA Team B,3,0,79,65,0.864,0.665,3.0,0.27,1,3,28,4,55.7,44.3
2025-09-21,WTA Team A,WTA Team B,2,3,78,75,0.445,0.53,1.86,3.0,2,0,17,14,51.92,48.08
2025-10-22,ATP Team B,ATP Team A,2,2,78,88,0.694,0.658,2.24,1.83,3,1,15,18,43.99,56.01
2025-11-23,ATP Team B,WTA Team B,3,2,82,56,0.679,0.479,3.0,2.43,0,2,29,10,57.87,42.13
2025-12-24,WTA Team A,WTA Team B,2,1,73,83,0.945,0.809,1.79,1.22,2,1,17,12,47.91,52.09
2025-01-25,WTA Team B,ATP Team A,1,3,86,64,0.622,0.889,1.67,3.0,1,3,8,10,54.87,45.13
2025-02-26,WTA Team B,ATP Team B,1,2,68,63,0.385,0.702,1.07,2.6,3,1,11,21,45.69,54.31
2025-03-27,ATP Team A,WTA Team B,1,1,84,57,0.542,0.742,1.31,1.98,3,1,10,7,49.77,50.23
2025-04-28,ATP Team A,ATP Team B,2,2,65,74,0.509,0.584,2.23,2.33,3,2,13,11,48.99,51.01
2025-05-01,ATP Team B,WTA Team A,2,3,68,83,0.443,0.49,2.74,2.87,3,1,18,12,49.79,50.21
2025-06-02,ATP Team B,WTA Team B,2,2,73,56,0.679,0.656,2.21,3.0,1,3,17,21,51.74,48.26
2025-07-03,ATP Team B,ATP Team A,3,2,62,64,0.737,0.599,2.48,2.55,4,2,29,16,49.27,50.73
2025-08-04,WTA Team A,ATP Team A,3,1,91,68,0.48,0.705,3.0,1.75,0,0,22,8,54.35,45.65
2025-09-05,WTA Team B,ATP Team A,2,3,60,72,0.359,0.568,2.19,2.86,4,1,18,21,46.12,53.88
2025-10-06,WTA Team B,ATP Team B,3,3,76,90,0.743,0.932,3.0,3.0,3,3,19,10,48.97,51.03
2025-11-07,WTA Team B,ATP Team B,1,3,81,88,0.728,0.768,1.49,3.0,2,3,11,10,47.29,52.71
2025-12-08,WTA Team B,WTA Team A,2,2,86,58,0.898,0.843,2.87,2.21,1,4,12,17,59.9,40.1
2025-01-09,WTA Team B,ATP Team A,3,2,72,90,0.79,0.605,3.0,2.11,0,0,10,11,46.46,53.54
2025-02-10,WTA Team A,ATP Team A,1,2,86,69,0.354,0.793,1.8,2.41,1,0,13,18,51.69,48.31
2025-03-11,WTA Team A,WTA Team B,3,0,60,59,0.845,0.354,3.0,0.14,2,4,15,6,56.77,43.23
2025-04-12,ATP Team A,WTA Team B,2,2,71,68,0.502,0.483,2.72,2.6,4,1,21,20,53.21,46.79
2025-05-13,ATP Team B,WTA Team A,2,1,80,86,0.814,0.924,2.46,1.54,2,0,16,5,43.92,56.08
2025-06-14,ATP Team B,WTA Team B,2,1,75,67,0.816,0.413,3.0,1.44,0,2,14,12,53.66,46.34
2025-07-15,ATP Team B,ATP Team A,3,1,90,92,0.735,0.831,3.0,1.9,3,4,19,6,44.5,55.5
2025-08-16,WTA Team A,ATP Team A,2,2,57,83,0.605,0.929,2.07,2.54,0,1,17,18,48.35,51.65
2025-09-17,WTA Team B,ATP Team A,2,2,79,59,0.529,0.623,1.93,2.27,2,4,8,17,50.12,49.88
2025-10-18,WTA Team B,WTA Team A,2,1,59,61,0.914,0.618,1.96,1.85,3,4,9,5,54.96,45.04
2025-11-19,ATP Team B,ATP Team A,2,2,89,57,0.755,0.453,2.99,2.4,4,4,9,12,59.52,40.48
2025-12-20,WTA Team A,ATP Team A,3,1,87,86,0.488,0.429,3.0,1.13,0,1,12,9,50.82,49.18
2025-01-21,WTA Team A,WTA Team B,2,2,84,67,0.376,0.509,2.66,1.96,0,0,20,17,54.33,45.67
2025-02-22,WTA Team A,WTA Team B,3,1,74,68,0.362,0.438,3.0,1.43,0,2,17,14,50.09,49.91
2025-03-23,WTA Team A,WTA Team B,3,2,66,71,0.885,0.598,3.0,1.73,1,4,17,21,51.81,48.19
2025-04-24,ATP Team B,ATP Team A,3,1,89,88,0.851,0.594,3.0,1.77,0,1,15,5,55.3,44.7
